update_date,update_time,County,Positive_Cases,Deaths,Tested,NOFO_Region,Metro_Area
11-02-2020,12:45,Illinois,"423,502","9,810","7,876,421",Illinois,Illinois
11-02-2020,12:45,Adams,"2,302",25,"41,393",West Central,
11-02-2020,12:45,Alexander,154,2,"2,530",Southern,Cape_Girardeau
11-02-2020,12:45,Bond,546,9,"8,187",Southwest Central,St_Louis
11-02-2020,12:45,Boone,"2,206",26,"23,683",Northern,Rockford
11-02-2020,12:45,Brown,130,0,"2,370",West Central,
11-02-2020,12:45,Bureau,"1,038",19,"13,954",Northwest,
11-02-2020,12:45,Calhoun,85,0,"1,786",Southwest Central,St_Louis
11-02-2020,12:45,Carroll,521,14,"7,679",Northwest,
11-02-2020,12:45,Cass,476,11,"5,976",Central,
11-02-2020,12:45,Champaign,"6,906",29,"826,901",Northeast Central,Champaign-Urbana
11-02-2020,12:45,Chicago,"105,999","3,082","1,578,063",Chicago,Chicago
11-02-2020,12:45,Christian,924,31,"15,134",Central,
11-02-2020,12:45,Clark,336,18,"5,760",Southeast Central,
11-02-2020,12:45,Clay,355,14,"4,776",Southeast Central,
11-02-2020,12:45,Clinton,"1,936",31,"19,054",Southwest Central,St_Louis
11-02-2020,12:45,Coles,"2,192",40,"28,773",Southeast Central,
11-02-2020,12:45,Cook,"89,741","2,428","1,374,544",Suburban,Chicago
11-02-2020,12:45,Crawford,686,6,"6,277",Southeast Central,
11-02-2020,12:45,Cumberland,326,6,"4,812",Southeast Central,
11-02-2020,12:45,De Witt,307,6,"6,554",North Central,Bloomington
11-02-2020,12:45,DeKalb,"2,843",43,"49,231",Northern,Elgin
11-02-2020,12:45,Douglas,842,9,"12,080",Northeast Central,
11-02-2020,12:45,DuPage,"26,065",624,"452,216",Collar,Chicago
11-02-2020,12:45,Edgar,178,11,"5,147",Southeast Central,
11-02-2020,12:45,Edwards,118,0,"1,196",Southern,
11-02-2020,12:45,Effingham,"1,356",4,"15,640",Southeast Central,
11-02-2020,12:45,Fayette,750,24,"8,559",Southeast Central,
11-02-2020,12:45,Ford,224,16,"7,974",Northeast Central,Champaign-Urbana
11-02-2020,12:45,Franklin,"1,122",10,"17,368",Southern,
11-02-2020,12:45,Fulton,681,2,"16,903",North Central,
11-02-2020,12:45,Gallatin,119,2,"1,170",Southern,
11-02-2020,12:45,Greene,349,17,"5,225",Central,
11-02-2020,12:45,Grundy,"1,154",7,"15,502",Collar,Chicago
11-02-2020,12:45,Hamilton,150,2,"2,220",Southern,
11-02-2020,12:45,Hancock,388,4,"7,416",West Central,
11-02-2020,12:45,Hardin,59,0,"1,445",Southern,
11-02-2020,12:45,Henderson,144,0,"2,186",West Central,
11-02-2020,12:45,Henry,911,9,"22,562",Northwest,Davenport
11-02-2020,12:45,Iroquois,593,20,"15,055",Northeast Central,
11-02-2020,12:45,Jackson,"1,672",26,"24,420",Southern,Carbondale-Marion
11-02-2020,12:45,Jasper,295,10,"3,674",Southeast Central,
11-02-2020,12:45,Jefferson,"1,024",52,"14,230",Southern,
11-02-2020,12:45,Jersey,507,21,"8,780",Southwest Central,St_Louis
11-02-2020,12:45,Jo Daviess,606,9,"8,154",Northwest,
11-02-2020,12:45,Johnson,409,0,"4,353",Southern,
11-02-2020,12:45,Kane,"18,972",356,"241,110",Collar,Elgin
11-02-2020,12:45,Kankakee,"3,930",81,"71,156",Collar,Kankakee
11-02-2020,12:45,Kendall,"3,138",30,"47,267",Collar,Chicago
11-02-2020,12:45,Knox,"1,477",21,"25,794",West Central,
11-02-2020,12:45,Lake,"22,817",523,"345,233",Collar,Lake
11-02-2020,12:45,LaSalle,"2,842",69,"42,521",Northwest,
11-02-2020,12:45,Lawrence,381,8,"7,131",Southeast Central,
11-02-2020,12:45,Lee,955,2,"12,114",Northwest,
11-02-2020,12:45,Livingston,792,12,"19,616",North Central,
11-02-2020,12:45,Logan,688,4,"19,690",Central,
11-02-2020,12:45,Macon,"3,753",59,"57,924",Central,Decatur
11-02-2020,12:45,Macoupin,879,11,"23,534",Central,St_Louis
11-02-2020,12:45,Madison,"7,891",159,"105,140",Southwest Central,St_Louis
11-02-2020,12:45,Marion,"1,224",25,"20,482",Southeast Central,
11-02-2020,12:45,Marshall,179,3,"6,121",North Central,Peoria
11-02-2020,12:45,Mason,369,9,"6,626",North Central,
11-02-2020,12:45,Massac,178,2,"3,569",Southern,
11-02-2020,12:45,McDonough,836,21,"14,044",West Central,
11-02-2020,12:45,McHenry,"7,416",120,"109,300",Collar,Chicago
11-02-2020,12:45,McLean,"4,538",38,"106,048",North Central,Bloomington
11-02-2020,12:45,Menard,193,1,"6,374",Central,Springfield
11-02-2020,12:45,Mercer,351,6,"6,925",Northwest,Davenport
11-02-2020,12:45,Monroe,"1,085",34,"12,085",Southwest Central,St_Louis
11-02-2020,12:45,Montgomery,700,17,"18,518",Central,
11-02-2020,12:45,Morgan,"1,078",26,"17,207",Central,
11-02-2020,12:45,Moultrie,513,6,"7,668",Southeast Central,
11-02-2020,12:45,Ogle,"1,485",8,"21,477",Northern,
11-02-2020,12:45,Out Of State,2,0,"56,076",Out Of State,
11-02-2020,12:45,Peoria,"5,155",79,"116,601",North Central,Peoria
