update_date,update_time,Metro_Area,Positive_Cases,Deaths,Tested
2020-03-20 0:00:00,12:00,Bloomington,4,0,0
2020-03-21 0:00:00,12:00,Bloomington,6,0,0
2020-03-22 0:00:00,12:00,Bloomington,6,1,0
2020-03-24 0:00:00,12:00,Bloomington,7,1,0
2020-03-25 0:00:00,12:00,Bloomington,7,1,0
2020-03-26 0:00:00,12:00,Bloomington,7,1,0
2020-03-27 0:00:00,12:00,Bloomington,10,1,0
2020-03-28 0:00:00,12:00,Bloomington,10,1,0
2020-03-29 0:00:00,12:00,Bloomington,14,1,0
2020-03-30 0:00:00,12:00,Bloomington,17,1,0
2020-03-31 0:00:00,12:00,Bloomington,19,2,0
2020-04-01 0:00:00,12:00,Bloomington,18,2,0
2020-04-02 0:00:00,12:00,Bloomington,32,2,0
2020-04-03 0:00:00,12:00,Bloomington,36,2,0
2020-04-04 0:00:00,12:00,Bloomington,41,2,0
2020-04-05 0:00:00,12:00,Bloomington,48,2,0
2020-04-06 0:00:00,12:00,Bloomington,49,2,0
2020-04-07 0:00:00,12:00,Bloomington,59,2,0
2020-04-08 0:00:00,12:00,Bloomington,67,2,0
2020-04-09 0:00:00,12:00,Bloomington,70,2,0
2020-04-10 0:00:00,12:00,Bloomington,76,2,0
2020-04-11 0:00:00,12:00,Bloomington,76,2,0
2020-04-12 0:00:00,21:12,Bloomington,78,2,0
2020-04-13 0:00:00,16:26,Bloomington,80,2,0
2020-04-14 0:00:00,16:14,Bloomington,82,2,0
2020-04-15 0:00:00,16:16,Bloomington,83,2,0
2020-04-16 0:00:00,19:10,Bloomington,83,3,0
2020-04-17 0:00:00,17:34,Bloomington,84,3,0
2020-04-17 0:00:00,20:59,Bloomington,84,3,0
2020-04-18 0:00:00,15:50,Bloomington,84,3,0
2020-04-19 0:00:00,14:45,Bloomington,86,3,0
2020-04-20 0:00:00,14:45,Bloomington,87,3,0
2020-04-21 0:00:00,14:45,Bloomington,87,3,0
2020-04-22 0:00:00,15:25,Bloomington,87,3,0
2020-04-23 0:00:00,14:48,Bloomington,88,3,0
2020-04-24 0:00:00,14:43,Bloomington,88,3,0
2020-04-24 0:00:00,15:24,Bloomington,88,3,0
2020-04-25 0:00:00,14:45,Bloomington,89,3,0
2020-04-26 0:00:00,14:45,Bloomington,89,3,0
2020-04-27 0:00:00,15:07,Bloomington,93,3,0
2020-04-28 0:00:00,15:05,Bloomington,96,3,2539
2020-04-29 0:00:00,17:23,Bloomington,97,3,2603
2020-04-30 0:00:00,16:42,Bloomington,98,3,2714
2020-05-01 0:00:00,15:37,Bloomington,100,3,0
2020-05-02 0:00:00,23:28,Bloomington,102,3,2930
2020-05-03 0:00:00,14:45,Bloomington,102,3,3027
2020-05-04 0:00:00,22:16,Bloomington,106,3,3049
2020-05-05 0:00:00,14:45,Bloomington,106,3,3160
2020-05-06 0:00:00,15:43,Bloomington,111,3,3303
2020-05-07 0:00:00,14:45,Bloomington,113,3,3400
2020-05-08 0:00:00,14:45,Bloomington,115,3,3583
2020-05-09 0:00:00,14:45,Bloomington,118,3,3706
2020-05-10 0:00:00,14:45,Bloomington,120,3,3757
2020-05-11 0:00:00,14:45,Bloomington,124,3,3780
2020-05-12 0:00:00,14:45,Bloomington,129,3,4099
2020-05-13 0:00:00,14:45,Bloomington,130,3,4253
2020-05-13 0:00:00,15:45,Bloomington,130,3,4243
2020-05-14 0:00:00,14:45,Bloomington,134,3,4312
2020-05-15 0:00:00,21:28,Bloomington,136,4,4473
2020-05-16 0:00:00,14:45,Bloomington,162,4,4599
2020-05-17 0:00:00,14:45,Bloomington,174,6,4924
2020-05-18 0:00:00,14:45,Bloomington,190,6,5014
2020-05-19 0:00:00,23:29,Bloomington,193,6,5400
2020-05-20 0:00:00,14:44,Bloomington,195,6,5631
2020-05-21 0:00:00,14:36,Bloomington,199,9,5793
2020-05-22 0:00:00,14:45,Bloomington,199,9,5958
2020-05-23 0:00:00,23:48,Bloomington,206,9,6294
2020-05-24 0:00:00,14:45,Bloomington,208,10,6440
2020-05-25 0:00:00,14:45,Bloomington,215,10,6622
2020-05-26 0:00:00,14:45,Bloomington,216,10,6881
2020-05-27 0:00:00,14:45,Bloomington,219,13,7306
2020-05-28 0:00:00,14:45,Bloomington,220,13,7569
2020-05-29 0:00:00,14:45,Bloomington,221,13,7761
2020-05-30 0:00:00,14:45,Bloomington,222,13,7985
2020-05-31 0:00:00,14:45,Bloomington,224,13,8091
2020-06-01 0:00:00,14:45,Bloomington,224,13,8226
2020-06-02 0:00:00,14:45,Bloomington,225,13,8347
2020-06-03 0:00:00,14:45,Bloomington,228,13,8566
2020-06-04 0:00:00,14:45,Bloomington,228,13,8757
2020-06-05 0:00:00,14:45,Bloomington,230,13,8898
2020-06-06 0:00:00,14:45,Bloomington,230,13,9030
2020-06-07 0:00:00,14:45,Bloomington,230,13,9208
2020-06-08 0:00:00,14:45,Bloomington,232,13,9361
2020-06-09 0:00:00,14:45,Bloomington,234,13,9448
2020-06-10 0:00:00,14:45,Bloomington,235,13,9661
2020-06-11 0:00:00,14:45,Bloomington,239,13,9818
2020-06-12 0:00:00,14:45,Bloomington,242,13,10102
2020-06-13 0:00:00,14:45,Bloomington,245,13,10569
2020-06-14 0:00:00,14:45,Bloomington,245,13,10739
2020-06-15 0:00:00,14:45,Bloomington,245,13,10994
2020-06-16 0:00:00,14:45,Bloomington,247,13,11076
2020-06-17 0:00:00,14:45,Bloomington,250,13,11277
2020-06-18 0:00:00,14:45,Bloomington,250,13,11572
2020-06-19 0:00:00,14:45,Bloomington,250,13,11781
2020-06-20 0:00:00,13:45,Bloomington,251,13,12315
2020-06-21 0:00:00,14:45,Bloomington,255,13,12483
2020-06-22 0:00:00,14:45,Bloomington,258,13,12725
2020-06-23 0:00:00,14:45,Bloomington,257,13,12918
2020-06-24 0:00:00,20:58,Bloomington,257,13,13106
2020-06-25 0:00:00,14:45,Bloomington,258,13,13343
2020-06-26 0:00:00,14:45,Bloomington,259,13,13524
2020-06-27 0:00:00,12:45,Bloomington,260,13,13698
2020-06-28 0:00:00,11:45,Bloomington,261,13,13797
2020-06-29 0:00:00,14:45,Bloomington,261,13,13975
2020-06-30 0:00:00,14:45,Bloomington,266,13,14366
2020-07-01 0:00:00,15:45,Bloomington,267,13,14642
2020-07-02 0:00:00,15:45,Bloomington,271,13,15013
2020-07-03 0:00:00,14:45,Bloomington,276,13,15259
2020-07-04 0:00:00,14:45,Bloomington,284,13,15540
2020-07-05 0:00:00,14:45,Bloomington,289,13,15772
2020-07-06 0:00:00,14:45,Bloomington,297,13,15913
2020-07-07 0:00:00,14:45,Bloomington,301,13,16208
2020-07-08 0:00:00,14:45,Bloomington,308,14,16391
2020-07-09 0:00:00,14:45,Bloomington,317,15,16674
2020-07-10 0:00:00,14:45,Bloomington,324,15,16947
2020-07-11 0:00:00,12:45,Bloomington,333,15,17323
2020-07-12 0:00:00,13:45,Bloomington,340,15,17482
2020-07-13 0:00:00,14:45,Bloomington,344,15,18007
2020-07-14 0:00:00,14:45,Bloomington,352,15,18175
2020-07-15 0:00:00,12:45,Bloomington,358,15,18505
2020-07-16 0:00:00,14:45,Bloomington,367,15,19099
2020-07-17 0:00:00,14:45,Bloomington,387,15,19469
2020-07-18 0:00:00,14:45,Bloomington,402,15,19819
2020-07-19 0:00:00,12:45,Bloomington,406,15,20497
2020-07-20 0:00:00,14:45,Bloomington,425,15,21105
2020-07-21 0:00:00,14:45,Bloomington,432,15,21392
2020-07-22 0:00:00,12:45,Bloomington,442,15,21658
2020-07-23 0:00:00,12:45,Bloomington,456,15,22107
2020-07-24 0:00:00,12:45,Bloomington,466,15,22580
2020-07-25 0:00:00,12:45,Bloomington,480,15,23137
2020-07-26 0:00:00,12:45,Bloomington,486,15,23692
2020-07-27 0:00:00,12:45,Bloomington,496,15,24053
2020-07-28 0:00:00,12:45,Bloomington,513,15,24547
2020-07-29 0:00:00,12:45,Bloomington,530,15,25251
2020-07-30 0:00:00,12:45,Bloomington,546,15,26110
2020-07-31 0:00:00,12:45,Bloomington,563,15,26785
2020-08-01 0:00:00,12:45,Bloomington,579,15,27389
2020-08-02 0:00:00,12:45,Bloomington,591,15,28187
2020-08-03 0:00:00,12:45,Bloomington,602,15,28617
2020-08-04 0:00:00,12:45,Bloomington,615,15,29292
2020-08-05 0:00:00,12:45,Bloomington,627,15,29697
2020-08-06 0:00:00,12:45,Bloomington,643,15,30462
2020-08-07 0:00:00,12:45,Bloomington,657,15,31418
2020-08-08 0:00:00,12:45,Bloomington,670,15,32241
2020-08-09 0:00:00,12:45,Bloomington,684,15,32885
2020-08-10 0:00:00,12:45,Bloomington,688,15,33323
2020-08-11 0:00:00,12:45,Bloomington,704,15,34022
2020-08-12 0:00:00,12:45,Bloomington,720,15,34732
2020-08-13 0:00:00,12:45,Bloomington,737,15,35846
2020-08-14 0:00:00,12:45,Bloomington,769,15,36908
2020-08-15 0:00:00,12:45,Bloomington,793,15,37958
2020-08-16 0:00:00,12:45,Bloomington,809,15,39143
2020-08-17 0:00:00,12:45,Bloomington,820,16,39456
2020-08-18 0:00:00,13:45,Bloomington,872,16,40242
2020-08-19 0:00:00,12:45,Bloomington,914,16,41166
2020-08-20 0:00:00,12:45,Bloomington,933,17,42117
2020-08-21 0:00:00,12:45,Bloomington,973,17,42673
2020-08-22 0:00:00,12:45,Bloomington,1041,17,43119
2020-08-23 0:00:00,12:45,Bloomington,1119,17,44135
2020-08-24 0:00:00,12:45,Bloomington,1176,17,44776
2020-08-25 0:00:00,12:45,Bloomington,1227,17,45207
2020-08-26 0:00:00,12:45,Bloomington,1288,17,46126
2020-08-26 0:00:00,14:45,Bloomington,1288,17,46126
2020-08-27 0:00:00,12:45,Bloomington,1362,17,46755
2020-08-28 0:00:00,12:45,Bloomington,1419,17,47456
2020-08-29 0:00:00,12:45,Bloomington,1515,17,48192
2020-08-30 0:00:00,12:45,Bloomington,1716,17,49481
2020-08-31 0:00:00,12:45,Bloomington,1831,17,50838
2020-09-01 0:00:00,12:45,Bloomington,1913,17,51255
2020-09-02 0:00:00,12:45,Bloomington,2111,17,52533
2020-09-03 0:00:00,12:45,Bloomington,2209,17,54090
2020-09-04 0:00:00,12:45,Bloomington,2506,18,57117
2020-09-05 0:00:00,12:45,Bloomington,2606,18,58244
2020-09-06 0:00:00,12:45,Bloomington,2665,18,59901
2020-09-07 0:00:00,12:45,Bloomington,2698,18,60628
2020-09-08 0:00:00,12:45,Bloomington,2722,18,60886
2020-09-09 0:00:00,12:45,Bloomington,2758,18,61436
2020-09-10 0:00:00,12:45,Bloomington,2845,19,62420
2020-09-11 0:00:00,12:45,Bloomington,2891,19,63812
2020-09-12 0:00:00,12:45,Bloomington,2953,19,64792
2020-09-13 0:00:00,11:45,Bloomington,2984,19,65883
2020-09-14 0:00:00,19:55,Bloomington,3014,19,66458
2020-09-15 0:00:00,12:45,Bloomington,3066,19,67112
2020-09-16 0:00:00,12:45,Bloomington,3091,19,68113
2020-09-17 0:00:00,12:45,Bloomington,3131,20,69186
2020-09-18 0:00:00,12:45,Bloomington,3182,20,70215
2020-09-19 0:00:00,12:45,Bloomington,3217,20,70988
2020-09-20 0:00:00,12:45,Bloomington,3247,20,71862
2020-09-21 0:00:00,12:45,Bloomington,3272,20,72742
2020-09-22 0:00:00,12:45,Bloomington,3291,21,73166
