date,group,positive_cases
2020-12-10,<20,606
2020-12-10,20-29,586
2020-12-10,30-39,509
2020-12-10,40-49,547
2020-12-10,50-59,521
2020-12-10,60-69,397
2020-12-10,70-79,187
2020-12-10,80+,121
2020-12-09,<20,1680
2020-12-09,20-29,1769
2020-12-09,30-39,1636
2020-12-09,40-49,1529
2020-12-09,50-59,1585
2020-12-09,60-69,1145
2020-12-09,70-79,581
2020-12-09,80+,511
2020-12-08,<20,1127
2020-12-08,20-29,1210
2020-12-08,30-39,1133
2020-12-08,40-49,1155
2020-12-08,50-59,1100
2020-12-08,60-69,827
2020-12-08,70-79,425
2020-12-08,80+,345
2020-12-07,<20,1302
2020-12-07,20-29,1587
2020-12-07,30-39,1322
2020-12-07,40-49,1301
2020-12-07,50-59,1382
2020-12-07,60-69,920
2020-12-07,70-79,477
2020-12-07,80+,411
2020-12-06,<20,1312
2020-12-06,20-29,1536
2020-12-06,30-39,1349
2020-12-06,40-49,1318
2020-12-06,50-59,1283
2020-12-06,60-69,919
2020-12-06,70-79,476
2020-12-06,80+,327
2020-12-05,<20,1355
2020-12-05,20-29,1501
2020-12-05,30-39,1295
2020-12-05,40-49,1266
2020-12-05,50-59,1152
2020-12-05,60-69,829
2020-12-05,70-79,472
2020-12-05,80+,322
2020-12-04,<20,1599
2020-12-04,20-29,1891
2020-12-04,30-39,1660
2020-12-04,40-49,1569
2020-12-04,50-59,1546
2020-12-04,60-69,1060
2020-12-04,70-79,557
2020-12-04,80+,466
2020-12-03,<20,1784
2020-12-03,20-29,1967
2020-12-03,30-39,1878
2020-12-03,40-49,1695
2020-12-03,50-59,1628
2020-12-03,60-69,1165
2020-12-03,70-79,648
2020-12-03,80+,521
2020-12-02,<20,1511
2020-12-02,20-29,1718
2020-12-02,30-39,1601
2020-12-02,40-49,1483
2020-12-02,50-59,1482
2020-12-02,60-69,1084
2020-12-02,70-79,585
2020-12-02,80+,478
2020-12-01,<20,1454
2020-12-01,20-29,1721
2020-12-01,30-39,1548
2020-12-01,40-49,1417
2020-12-01,50-59,1485
2020-12-01,60-69,1020
2020-12-01,70-79,498
2020-12-01,80+,408
2020-11-30,<20,1757
2020-11-30,20-29,1870
2020-11-30,30-39,1843
2020-11-30,40-49,1873
2020-11-30,50-59,1849
2020-11-30,60-69,1362
2020-11-30,70-79,745
2020-11-30,80+,555
2020-11-29,<20,1028
2020-11-29,20-29,1158
2020-11-29,30-39,1046
2020-11-29,40-49,1018
2020-11-29,50-59,1051
2020-11-29,60-69,752
2020-11-29,70-79,435
2020-11-29,80+,302
2020-11-28,<20,1011
2020-11-28,20-29,1107
2020-11-28,30-39,1099
2020-11-28,40-49,1021
2020-11-28,50-59,1021
2020-11-28,60-69,738
2020-11-28,70-79,367
2020-11-28,80+,314
2020-11-27,<20,1342
2020-11-27,20-29,1341
2020-11-27,30-39,1341
2020-11-27,40-49,1310
2020-11-27,50-59,1243
2020-11-27,60-69,928
2020-11-27,70-79,520
2020-11-27,80+,450
2020-11-26,<20,1336
2020-11-26,20-29,1449
2020-11-26,30-39,1397
2020-11-26,40-49,1377
2020-11-26,50-59,1329
2020-11-26,60-69,959
2020-11-26,70-79,501
2020-11-26,80+,371
2020-11-25,<20,1545
2020-11-25,20-29,1939
2020-11-25,30-39,1772
2020-11-25,40-49,1687
2020-11-25,50-59,1753
2020-11-25,60-69,1236
2020-11-25,70-79,688
2020-11-25,80+,431
2020-11-24,<20,1717
2020-11-24,20-29,1911
2020-11-24,30-39,1819
2020-11-24,40-49,1708
2020-11-24,50-59,1705
2020-11-24,60-69,1184
2020-11-24,70-79,622
2020-11-24,80+,418
2020-11-23,<20,1407
2020-11-23,20-29,1489
2020-11-23,30-39,1514
2020-11-23,40-49,1434
2020-11-23,50-59,1413
2020-11-23,60-69,1091
2020-11-23,70-79,590
2020-11-23,80+,438
2020-11-22,<20,1367
2020-11-22,20-29,1634
2020-11-22,30-39,1427
2020-11-22,40-49,1403
2020-11-22,50-59,1382
2020-11-22,60-69,977
2020-11-22,70-79,511
2020-11-22,80+,336
2020-11-21,<20,1448
2020-11-21,20-29,1730
2020-11-21,30-39,1530
2020-11-21,40-49,1549
2020-11-21,50-59,1447
2020-11-21,60-69,1045
2020-11-21,70-79,574
2020-11-21,80+,373
2020-11-20,<20,1998
2020-11-20,20-29,2189
2020-11-20,30-39,2012
2020-11-20,40-49,2127
2020-11-20,50-59,1979
2020-11-20,60-69,1397
2020-11-20,70-79,750
2020-11-20,80+,454
2020-11-19,<20,1940
2020-11-19,20-29,2185
2020-11-19,30-39,1944
2020-11-19,40-49,1928
2020-11-19,50-59,1926
2020-11-19,60-69,1358
2020-11-19,70-79,712
2020-11-19,80+,450
2020-11-18,<20,1950
2020-11-18,20-29,2140
2020-11-18,30-39,1951
2020-11-18,40-49,1965
2020-11-18,50-59,1960
2020-11-18,60-69,1364
2020-11-18,70-79,771
2020-11-18,80+,494
2020-11-17,<20,1658
2020-11-17,20-29,1824
2020-11-17,30-39,1784
2020-11-17,40-49,1778
2020-11-17,50-59,1635
2020-11-17,60-69,1195
2020-11-17,70-79,665
2020-11-17,80+,449
2020-11-16,<20,1766
2020-11-16,20-29,2013
2020-11-16,30-39,1819
2020-11-16,40-49,1706
2020-11-16,50-59,1722
2020-11-16,60-69,1265
2020-11-16,70-79,657
2020-11-16,80+,375
2020-11-15,<20,1720
2020-11-15,20-29,1948
2020-11-15,30-39,1831
2020-11-15,40-49,1676
2020-11-15,50-59,1647
2020-11-15,60-69,1141
2020-11-15,70-79,619
2020-11-15,80+,365
2020-11-14,<20,1595
2020-11-14,20-29,1842
2020-11-14,30-39,1684
2020-11-14,40-49,1611
2020-11-14,50-59,1462
2020-11-14,60-69,1068
2020-11-14,70-79,583
2020-11-14,80+,381
2020-11-13,<20,2316
2020-11-13,20-29,2642
2020-11-13,30-39,2378
2020-11-13,40-49,2312
2020-11-13,50-59,2079
2020-11-13,60-69,1573
2020-11-13,70-79,795
2020-11-13,80+,560
2020-11-12,<20,2227
2020-11-12,20-29,2678
2020-11-12,30-39,2314
2020-11-12,40-49,2278
2020-11-12,50-59,2205
2020-11-12,60-69,1528
2020-11-12,70-79,748
2020-11-12,80+,491
2020-11-11,<20,1838
2020-11-11,20-29,2116
2020-11-11,30-39,1912
2020-11-11,40-49,1846
2020-11-11,50-59,1737
2020-11-11,60-69,1297
2020-11-11,70-79,608
2020-11-11,80+,464
2020-11-10,<20,2036
2020-11-10,20-29,2259
2020-11-10,30-39,2021
2020-11-10,40-49,1932
2020-11-10,50-59,1806
2020-11-10,60-69,1287
2020-11-10,70-79,599
2020-11-10,80+,385
2020-11-09,<20,2083
2020-11-09,20-29,2465
2020-11-09,30-39,2150
2020-11-09,40-49,1966
2020-11-09,50-59,1844
2020-11-09,60-69,1335
2020-11-09,70-79,594
2020-11-09,80+,391
2020-11-08,<20,1334
2020-11-08,20-29,1723
2020-11-08,30-39,1478
2020-11-08,40-49,1326
2020-11-08,50-59,1187
2020-11-08,60-69,864
2020-11-08,70-79,411
2020-11-08,80+,317
2020-11-07,<20,1871
2020-11-07,20-29,2257
2020-11-07,30-39,1964
2020-11-07,40-49,1868
2020-11-07,50-59,1859
2020-11-07,60-69,1184
2020-11-07,70-79,571
2020-11-07,80+,398
2020-11-06,<20,1841
2020-11-06,20-29,2374
2020-11-06,30-39,1960
2020-11-06,40-49,1705
2020-11-06,50-59,1664
2020-11-06,60-69,1120
2020-11-06,70-79,532
2020-11-06,80+,364
2020-11-05,<20,1650
2020-11-05,20-29,1960
2020-11-05,30-39,1620
2020-11-05,40-49,1627
2020-11-05,50-59,1578
2020-11-05,60-69,1122
2020-11-05,70-79,594
2020-11-05,80+,365
2020-11-04,<20,1330
2020-11-04,20-29,1697
2020-11-04,30-39,1511
2020-11-04,40-49,1444
2020-11-04,50-59,1424
2020-11-04,60-69,982
2020-11-04,70-79,483
2020-11-04,80+,334
2020-11-03,<20,979
2020-11-03,20-29,1220
2020-11-03,30-39,1144
2020-11-03,40-49,1037
2020-11-03,50-59,971
2020-11-03,60-69,694
2020-11-03,70-79,339
2020-11-03,80+,242
2020-11-02,<20,1120
2020-11-02,20-29,1346
2020-11-02,30-39,1290
2020-11-02,40-49,1147
2020-11-02,50-59,1048
2020-11-02,60-69,750
2020-11-02,70-79,359
2020-11-02,80+,228
2020-11-01,<20,887
2020-11-01,20-29,1298
2020-11-01,30-39,966
2020-11-01,40-49,955
2020-11-01,50-59,895
2020-11-01,60-69,663
2020-11-01,70-79,322
2020-11-01,80+,185
2020-10-31,<20,1124
2020-10-31,20-29,1499
2020-10-31,30-39,1231
2020-10-31,40-49,1189
2020-10-31,50-59,1035
2020-10-31,60-69,672
2020-10-31,70-79,307
2020-10-31,80+,174
2020-10-30,<20,1305
2020-10-30,20-29,1643
2020-10-30,30-39,1415
2020-10-30,40-49,1321
2020-10-30,50-59,1224
2020-10-30,60-69,736
2020-10-30,70-79,358
2020-10-30,80+,232
2020-10-29,<20,1144
2020-10-29,20-29,1413
2020-10-29,30-39,1189
2020-10-29,40-49,1102
2020-10-29,50-59,1037
2020-10-29,60-69,681
2020-10-29,70-79,364
2020-10-29,80+,218
2020-10-28,<20,996
2020-10-28,20-29,1156
2020-10-28,30-39,1071
2020-10-28,40-49,1017
2020-10-28,50-59,1004
2020-10-28,60-69,690
2020-10-28,70-79,393
2020-10-28,80+,281
2020-10-27,<20,785
2020-10-27,20-29,1013
2020-10-27,30-39,851
2020-10-27,40-49,828
2020-10-27,50-59,822
2020-10-27,60-69,561
2020-10-27,70-79,298
2020-10-27,80+,180
2020-10-26,<20,683
2020-10-26,20-29,837
2020-10-26,30-39,774
2020-10-26,40-49,695
2020-10-26,50-59,671
2020-10-26,60-69,496
2020-10-26,70-79,275
2020-10-26,80+,157
2020-10-25,<20,677
2020-10-25,20-29,753
2020-10-25,30-39,722
2020-10-25,40-49,684
2020-10-25,50-59,661
2020-10-25,60-69,429
2020-10-25,70-79,248
2020-10-25,80+,146
2020-10-24,<20,783
2020-10-24,20-29,991
2020-10-24,30-39,821
2020-10-24,40-49,825
2020-10-24,50-59,661
2020-10-24,60-69,540
2020-10-24,70-79,268
2020-10-24,80+,153
2020-10-23,<20,727
2020-10-23,20-29,1002
2020-10-23,30-39,851
2020-10-23,40-49,727
2020-10-23,50-59,742
2020-10-23,60-69,487
2020-10-23,70-79,296
2020-10-23,80+,193
2020-10-22,<20,730
2020-10-22,20-29,965
2020-10-22,30-39,811
2020-10-22,40-49,768
2020-10-22,50-59,752
2020-10-22,60-69,515
2020-10-22,70-79,244
2020-10-22,80+,211
2020-10-21,<20,725
2020-10-21,20-29,890
2020-10-21,30-39,809
2020-10-21,40-49,765
2020-10-21,50-59,785
2020-10-21,60-69,514
2020-10-21,70-79,289
2020-10-21,80+,222
2020-10-20,<20,616
2020-10-20,20-29,726
2020-10-20,30-39,665
2020-10-20,40-49,570
2020-10-20,50-59,618
2020-10-20,60-69,456
2020-10-20,70-79,265
2020-10-20,80+,192
2020-10-19,<20,532
2020-10-19,20-29,713
2020-10-19,30-39,603
2020-10-19,40-49,524
2020-10-19,50-59,476
2020-10-19,60-69,342
2020-10-19,70-79,185
2020-10-19,80+,135
2020-10-18,<20,430
2020-10-18,20-29,567
2020-10-18,30-39,507
2020-10-18,40-49,431
2020-10-18,50-59,469
2020-10-18,60-69,334
2020-10-18,70-79,183
2020-10-18,80+,118
2020-10-17,<20,660
2020-10-17,20-29,1010
2020-10-17,30-39,818
2020-10-17,40-49,761
2020-10-17,50-59,695
2020-10-17,60-69,468
2020-10-17,70-79,268
2020-10-17,80+,160
2020-10-16,<20,633
2020-10-16,20-29,793
2020-10-16,30-39,696
2020-10-16,40-49,612
2020-10-16,50-59,573
2020-10-16,60-69,447
2020-10-16,70-79,211
2020-10-16,80+,170
2020-10-15,<20,605
2020-10-15,20-29,889
2020-10-15,30-39,756
2020-10-15,40-49,724
2020-10-15,50-59,690
2020-10-15,60-69,490
2020-10-15,70-79,267
2020-10-15,80+,188
2020-10-14,<20,453
2020-10-14,20-29,599
2020-10-14,30-39,535
2020-10-14,40-49,536
2020-10-14,50-59,505
2020-10-14,60-69,381
2020-10-14,70-79,244
2020-10-14,80+,222
2020-10-13,<20,420
2020-10-13,20-29,626
2020-10-13,30-39,463
2020-10-13,40-49,455
2020-10-13,50-59,451
2020-10-13,60-69,352
2020-10-13,70-79,219
2020-10-13,80+,123
2020-10-12,<20,427
2020-10-12,20-29,514
2020-10-12,30-39,482
2020-10-12,40-49,369
2020-10-12,50-59,405
2020-10-12,60-69,304
2020-10-12,70-79,128
2020-10-12,80+,107
2020-10-11,<20,365
2020-10-11,20-29,479
2020-10-11,30-39,420
2020-10-11,40-49,378
2020-10-11,50-59,366
2020-10-11,60-69,309
2020-10-11,70-79,142
2020-10-11,80+,92
2020-10-10,<20,394
2020-10-10,20-29,559
2020-10-10,30-39,448
2020-10-10,40-49,402
2020-10-10,50-59,422
2020-10-10,60-69,313
2020-10-10,70-79,133
2020-10-10,80+,134
2020-10-09,<20,488
2020-10-09,20-29,665
2020-10-09,30-39,490
2020-10-09,40-49,494
2020-10-09,50-59,459
2020-10-09,60-69,355
2020-10-09,70-79,207
2020-10-09,80+,112
2020-10-08,<20,380
2020-10-08,20-29,505
2020-10-08,30-39,448
2020-10-08,40-49,378
2020-10-08,50-59,401
2020-10-08,60-69,306
2020-10-08,70-79,187
2020-10-08,80+,126
2020-10-07,<20,369
2020-10-07,20-29,534
2020-10-07,30-39,472
2020-10-07,40-49,435
2020-10-07,50-59,458
2020-10-07,60-69,292
2020-10-07,70-79,169
2020-10-07,80+,134
2020-10-06,<20,276
2020-10-06,20-29,372
2020-10-06,30-39,309
2020-10-06,40-49,309
2020-10-06,50-59,328
2020-10-06,60-69,290
2020-10-06,70-79,154
2020-10-06,80+,102
2020-10-05,<20,276
2020-10-05,20-29,304
2020-10-05,30-39,289
2020-10-05,40-49,263
2020-10-05,50-59,245
2020-10-05,60-69,198
2020-10-05,70-79,134
2020-10-05,80+,76
2020-10-04,<20,231
2020-10-04,20-29,288
2020-10-04,30-39,260
2020-10-04,40-49,223
2020-10-04,50-59,251
2020-10-04,60-69,164
2020-10-04,70-79,102
2020-10-04,80+,55
2020-10-03,<20,302
2020-10-03,20-29,387
2020-10-03,30-39,316
2020-10-03,40-49,249
2020-10-03,50-59,258
2020-10-03,60-69,183
2020-10-03,70-79,87
2020-10-03,80+,62
2020-10-02,<20,392
