County,confirmed_cases,total_tested,probable_deaths,deaths,date
Adams,7836,118939,32,111,2021-02-10
Alexander,432,4670,0,8,2021-02-10
Bond,1837,21244,6,23,2021-02-10
Boone,5816,48390,12,74,2021-02-10
Brown,648,19569,6,6,2021-02-10
Bureau,3196,33725,14,73,2021-02-10
Calhoun,468,4800,3,2,2021-02-10
Carroll,1532,16659,1,33,2021-02-10
Cass,1852,16355,9,22,2021-02-10
Champaign,17143,1580448,8,110,2021-02-10
Chicago,238915,3133726,245,4732,2021-02-10
Christian,3224,38884,18,62,2021-02-10
Clark,1633,13020,8,28,2021-02-10
Clay,1401,12963,4,39,2021-02-10
Clinton,5500,50289,9,86,2021-02-10
Coles,5020,60647,2,88,2021-02-10
Cook,223752,2863232,338,4314,2021-02-10
Crawford,1963,27809,16,21,2021-02-10
Cumberland,1154,9759,12,17,2021-02-10
De Witt,1247,16566,8,22,2021-02-10
DeKalb,7996,101558,6,107,2021-02-10
Douglas,2204,24970,6,29,2021-02-10
DuPage,74151,974266,83,1139,2021-02-10
Edgar,1523,12099,21,36,2021-02-10
Edwards,510,3451,1,9,2021-02-10
Effingham,4446,35370,12,68,2021-02-10
Fayette,3041,23946,4,52,2021-02-10
Ford,1493,22689,9,43,2021-02-10
Franklin,4072,40438,13,64,2021-02-10
Fulton,2761,60609,8,44,2021-02-10
Gallatin,421,3382,1,3,2021-02-10
Greene,1350,11743,15,30,2021-02-10
Grundy,4867,41423,6,59,2021-02-10
Hamilton,764,5874,3,15,2021-02-10
Hancock,1622,15412,11,27,2021-02-10
Hardin,334,4322,0,11,2021-02-10
Henderson,490,5824,9,8,2021-02-10
Henry,4241,54204,29,53,2021-02-10
Illinois,1152995,16822385,2130,19739,2021-02-10
Iroquois,2728,37348,2,59,2021-02-10
Jackson,4512,60652,12,60,2021-02-10
Jasper,1092,9699,2,17,2021-02-10
Jefferson,3861,39102,1,112,2021-02-10
Jersey,2428,25076,20,44,2021-02-10
Jo Daviess,1575,17639,4,22,2021-02-10
Johnson,1332,27351,6,10,2021-02-10
Kane,49264,506395,55,696,2021-02-10
Kankakee,12102,172348,8,186,2021-02-10
Kendall,10660,101916,9,81,2021-02-10
Knox,4911,69578,33,121,2021-02-10
Lake,57486,734528,80,892,2021-02-10
