county,date,measure,group,cases,tested
Adams,2020-12-23,age,<20,7,8
Adams,2020-12-23,age,20-29,9,2
Adams,2020-12-23,age,30-39,6,3
Adams,2020-12-23,age,40-49,4,1
Adams,2020-12-23,age,50-59,8,5
Adams,2020-12-23,age,60-69,5,9
Adams,2020-12-23,age,70-79,3,7
Adams,2020-12-23,age,80+,2,4
Adams,2020-12-23,age,Unknown,1,6
Adams,2020-12-23,gender,Female,3003,45860
Adams,2020-12-23,gender,Male,2603,31593
Adams,2020-12-23,gender,Unknown/Left Blank,394,7418
Adams,2020-12-23,race,AI/AN**,0,26
Adams,2020-12-23,race,Asian,0,123
Adams,2020-12-23,race,Black,93,747
Adams,2020-12-23,race,Hispanic,9,190
Adams,2020-12-23,race,Left Blank,4489,60619
Adams,2020-12-23,race,NH/PI*,0,48
Adams,2020-12-23,race,Other,0,116
Adams,2020-12-23,race,White,1394,23002
Adams,2020-12-22,age,<20,7,8
Adams,2020-12-22,age,20-29,9,2
Adams,2020-12-22,age,30-39,6,3
Adams,2020-12-22,age,40-49,4,1
Adams,2020-12-22,age,50-59,8,5
Adams,2020-12-22,age,60-69,5,9
Adams,2020-12-22,age,70-79,3,7
Adams,2020-12-22,age,80+,2,4
Adams,2020-12-22,age,Unknown,1,6
Adams,2020-12-22,gender,Female,2983,45408
Adams,2020-12-22,gender,Male,2583,31255
Adams,2020-12-22,gender,Unknown/Left Blank,383,7199
Adams,2020-12-22,race,AI/AN**,0,26
Adams,2020-12-22,race,Asian,0,123
Adams,2020-12-22,race,Black,93,742
Adams,2020-12-22,race,Hispanic,9,183
Adams,2020-12-22,race,Left Blank,4445,59722
Adams,2020-12-22,race,NH/PI*,0,48
Adams,2020-12-22,race,Other,0,116
Adams,2020-12-22,race,White,1387,22902
Adams,2020-12-21,age,<20,7,7
Adams,2020-12-21,age,20-29,9,1
Adams,2020-12-21,age,30-39,6,3
Adams,2020-12-21,age,40-49,4,1
Adams,2020-12-21,age,50-59,8,4
Adams,2020-12-21,age,60-69,5,8
Adams,2020-12-21,age,70-79,3,6
Adams,2020-12-21,age,80+,2,2
Adams,2020-12-21,age,Unknown,1,5
Adams,2020-12-21,gender,Female,2939,44793
Adams,2020-12-21,gender,Male,2540,30795
Adams,2020-12-21,gender,Unknown/Left Blank,379,7043
Adams,2020-12-21,race,AI/AN**,0,26
