date,County,youthCaseCount,youthCaseTested
2020-12-13,Adams,814,8108
2020-12-13,Alexander,30,292
2020-12-13,Bond,190,1467
2020-12-13,Boone,746,5573
2020-12-13,Brown,53,371
2020-12-13,Bureau,309,2499
2020-12-13,Calhoun,60,375
2020-12-13,Carroll,138,1108
2020-12-13,Cass,208,1708
2020-12-13,Champaign,3394,279036
2020-12-13,Chicago,22656,226689
2020-12-13,Christian,194,2408
2020-12-13,Clark,174,1299
2020-12-13,Clay,146,1477
2020-12-13,Clinton,550,4116
2020-12-13,Coles,629,6054
2020-12-13,Cook,23203,207520
2020-12-13,Crawford,177,1667
2020-12-13,Cumberland,115,904
2020-12-13,De Witt,133,1693
2020-12-13,DeKalb,960,12026
2020-12-13,Douglas,294,3492
2020-12-13,DuPage,8428,78306
2020-12-13,Edgar,190,959
2020-12-13,Edwards,42,436
2020-12-13,Effingham,528,3168
2020-12-13,Fayette,268,1785
2020-12-13,Ford,146,2175
2020-12-13,Franklin,367,2996
2020-12-13,Fulton,304,3867
2020-12-13,Gallatin,32,359
2020-12-13,Greene,91,1100
2020-12-13,Grundy,549,4379
2020-12-13,Hamilton,53,548
2020-12-13,Hancock,157,1098
2020-12-13,Hardin,14,178
2020-12-13,Henderson,27,485
2020-12-13,Henry,483,4503
2020-12-13,Illinois,122251,1431066
2020-12-13,Iroquois,304,3272
2020-12-13,Jackson,551,5519
2020-12-13,Jasper,123,833
2020-12-13,Jefferson,251,2553
2020-12-13,Jersey,229,1747
2020-12-13,Jo Daviess,209,1778
2020-12-13,Johnson,87,859
2020-12-13,Kane,6006,45167
2020-12-13,Kankakee,1440,11258
2020-12-13,Kendall,1226,11926
2020-12-13,Knox,439,5210
2020-12-13,Lake,7397,63082
2020-12-13,LaSalle,877,7893
2020-12-13,Lawrence,116,1487
2020-12-13,Lee,257,2487
2020-12-13,Livingston,355,4085
2020-12-13,Logan,217,4052
2020-12-13,Macon,1015,10601
2020-12-13,Macoupin,410,5035
2020-12-13,Madison,2527,20693
2020-12-13,Marion,369,3338
