date,TotalBeds,TotalOpenBeds,TotalInUseBedsNonCOVID,TotalInUseBedsCOVID,ICUBeds,ICUOpenBeds,ICUInUseBedsNonCOVID,ICUInUseBedsCOVID,VentilatorCapacity,VentilatorAvailable,VentilatorInUseNonCOVID,VentilatorInUseCOVID
2020-12-03,32653,7972,19228,5453,3316,647,1516,1153,5690,3962,1025,703
2020-12-02,32663,7807,19203,5653,3307,600,1537,1170,5707,3909,1105,693
2020-12-01,32667,7853,19050,5764,3309,623,1496,1190,5683,3781,1188,714
2020-11-30,32716,8161,18720,5835,3307,687,1425,1195,5650,3766,1163,721
2020-11-29,32717,9189,17679,5849,3306,744,1345,1217,5656,3969,972,715
2020-11-28,32641,9407,17376,5858,3282,785,1312,1185,5657,3935,999,723
2020-11-27,32658,9353,17530,5775,3313,704,1398,1211,5666,3918,1062,686
2020-11-26,32616,9868,16919,5829,3316,735,1366,1215,5665,3953,1014,698
2020-11-25,32614,8550,18032,6032,3315,661,1430,1224,5665,3886,1055,724
2020-11-24,32677,8284,18260,6133,3315,684,1423,1208,5665,3883,1103,679
2020-11-23,32443,8381,17928,6134,3287,696,1388,1203,5665,3871,1126,668
2020-11-22,32799,9373,17255,6171,3325,759,1360,1206,5695,3933,1127,635
2020-11-21,32594,9196,17326,6072,3325,727,1419,1179,5693,4009,1095,589
2020-11-20,32581,8320,18086,6175,3295,673,1449,1173,5679,3892,1192,595
2020-11-19,32862,8132,18619,6111,3313,618,1499,1196,5657,3984,1069,604
2020-11-18,34898,10232,18629,6037,3747,1113,1442,1192,5673,4020,1066,587
2020-11-17,34957,10423,18581,5953,3764,1135,1483,1146,5738,4036,1155,547
2020-11-16,34874,11208,17779,5887,3763,1200,1405,1158,5735,4051,1139,545
2020-11-15,34913,11237,18095,5581,3753,1237,1372,1144,5722,4159,1049,514
2020-11-14,34973,11058,18441,5474,3762,1191,1526,1045,5724,4152,1082,490
2020-11-13,35019,10529,19075,5415,3764,1144,1602,1018,5713,4065,1149,499
2020-11-12,34984,9932,19690,5362,3765,1072,1703,990,5720,4132,1100,488
2020-11-11,35024,9402,20364,5258,3764,1080,1728,956,5759,4152,1169,438
