date,agegroup,race,gender,cases,tested,deaths
2020-12-04,<20,AI/AN**,NA,120,1193,0
2020-12-04,<20,Asian,NA,1685,79488,0
2020-12-04,<20,Black,NA,8377,101451,5
2020-12-04,<20,Hispanic,NA,25249,155204,1
2020-12-04,<20,Left Blank,NA,37334,472400,0
2020-12-04,<20,NH/PI*,NA,87,1801,0
2020-12-04,<20,Other,NA,4046,57422,0
2020-12-04,<20,White,NA,32958,470398,2
2020-12-04,<20,NA,NA,109856,1339357,8
2020-12-04,20-29,AI/AN**,NA,173,1973,0
2020-12-04,20-29,Asian,NA,2944,179333,2
2020-12-04,20-29,Black,NA,13169,158846,16
2020-12-04,20-29,Hispanic,NA,31167,208948,21
2020-12-04,20-29,Left Blank,NA,47490,802665,0
2020-12-04,20-29,NH/PI*,NA,135,3094,0
2020-12-04,20-29,Other,NA,5251,84339,1
2020-12-04,20-29,White,NA,45333,703840,1
2020-12-04,20-29,NA,NA,145662,2143038,41
2020-12-04,30-39,AI/AN**,NA,152,1338,0
2020-12-04,30-39,Asian,NA,2621,50259,6
2020-12-04,30-39,Black,NA,12170,124375,58
2020-12-04,30-39,Hispanic,NA,27083,132671,87
2020-12-04,30-39,Left Blank,NA,41094,719432,2
2020-12-04,30-39,NH/PI*,NA,143,1851,0
2020-12-04,30-39,Other,NA,4700,55204,0
2020-12-04,30-39,White,NA,36062,467767,15
2020-12-04,30-39,NA,NA,124025,1552897,168
2020-12-04,40-49,AI/AN**,NA,142,1208,1
2020-12-04,40-49,Asian,NA,2469,33452,13
2020-12-04,40-49,Black,NA,11362,116599,112
2020-12-04,40-49,Hispanic,NA,27752,116687,195
2020-12-04,40-49,Left Blank,NA,38607,623413,3
2020-12-04,40-49,NH/PI*,NA,134,1438,1
2020-12-04,40-49,Other,NA,4355,43739,0
2020-12-04,40-49,White,NA,34597,394634,60
2020-12-04,40-49,NA,NA,119418,1331170,385
2020-12-04,50-59,AI/AN**,NA,136,1200,2
2020-12-04,50-59,Asian,NA,2194,28289,29
2020-12-04,50-59,Black,NA,10914,124180,259
2020-12-04,50-59,Hispanic,NA,19738,87948,361
2020-12-04,50-59,Left Blank,NA,37270,651579,13
2020-12-04,50-59,NH/PI*,NA,116,1485,2
2020-12-04,50-59,Other,NA,3912,39761,6
2020-12-04,50-59,White,NA,40448,474138,252
2020-12-04,50-59,NA,NA,114728,1408580,924
2020-12-04,60-69,AI/AN**,NA,90,864,4
2020-12-04,60-69,Asian,NA,1686,18580,74
2020-12-04,60-69,Black,NA,8330,104578,606
2020-12-04,60-69,Hispanic,NA,9908,49423,539
2020-12-04,60-69,Left Blank,NA,25071,537160,31
2020-12-04,60-69,NH/PI*,NA,90,922,4
2020-12-04,60-69,Other,NA,2503,29621,16
2020-12-04,60-69,White,NA,32782,434137,798
