date,category,perc,count,baseline
2020-11-16,CCDD CDC Pneumonia CCDD v1,5.072522,633,12479
2020-11-16,CCDD CLI CC with CLI DD and Coronavirus DD v1,11.77979,1470,12479
2020-11-16,SUBSYNDROME ShortnessOfBreath,9.431846,1177,12479
2020-11-15,CCDD CDC Pneumonia CCDD v1,5.027879,523,10402
2020-11-15,CCDD CLI CC with CLI DD and Coronavirus DD v1,11.565084,1203,10402
2020-11-15,SUBSYNDROME ShortnessOfBreath,8.652182,900,10402
2020-11-14,CCDD CDC Pneumonia CCDD v1,4.794456,512,10679
2020-11-14,CCDD CLI CC with CLI DD and Coronavirus DD v1,11.480476,1226,10679
2020-11-14,SUBSYNDROME ShortnessOfBreath,8.090645,864,10679
2020-11-13,CCDD CDC Pneumonia CCDD v1,5.3208,617,11596
2020-11-13,CCDD CLI CC with CLI DD and Coronavirus DD v1,11.400483,1322,11596
2020-11-13,SUBSYNDROME ShortnessOfBreath,8.977234,1041,11596
2020-11-12,CCDD CDC Pneumonia CCDD v1,5.162659,657,12726
2020-11-12,CCDD CLI CC with CLI DD and Coronavirus DD v1,11.213264,1427,12726
2020-11-12,SUBSYNDROME ShortnessOfBreath,9.374509,1193,12726
2020-11-11,CCDD CDC Pneumonia CCDD v1,4.576898,569,12432
2020-11-11,CCDD CLI CC with CLI DD and Coronavirus DD v1,10.609717,1319,12432
2020-11-11,SUBSYNDROME ShortnessOfBreath,8.534427,1061,12432
2020-11-10,CCDD CDC Pneumonia CCDD v1,5.058308,681,13463
2020-11-10,CCDD CLI CC with CLI DD and Coronavirus DD v1,11.111936,1496,13463
2020-11-10,SUBSYNDROME ShortnessOfBreath,8.660774,1166,13463
2020-11-09,CCDD CDC Pneumonia CCDD v1,5.014883,775,15454
2020-11-09,CCDD CLI CC with CLI DD and Coronavirus DD v1,10.599198,1638,15454
2020-11-09,SUBSYNDROME ShortnessOfBreath,9.065614,1401,15454
2020-11-08,CCDD CDC Pneumonia CCDD v1,4.604168,581,12619
2020-11-08,CCDD CLI CC with CLI DD and Coronavirus DD v1,10.214756,1289,12619
2020-11-08,SUBSYNDROME ShortnessOfBreath,7.964181,1005,12619
2020-11-07,CCDD CDC Pneumonia CCDD v1,4.360136,539,12362
2020-11-07,CCDD CLI CC with CLI DD and Coronavirus DD v1,10.168258,1257,12362
2020-11-07,SUBSYNDROME ShortnessOfBreath,7.749555,958,12362
2020-11-06,CCDD CDC Pneumonia CCDD v1,4.416029,594,13451
2020-11-06,CCDD CLI CC with CLI DD and Coronavirus DD v1,9.753922,1312,13451
2020-11-06,SUBSYNDROME ShortnessOfBreath,8.6685,1166,13451
2020-11-05,CCDD CDC Pneumonia CCDD v1,4.631047,605,13064
2020-11-05,CCDD CLI CC with CLI DD and Coronavirus DD v1,9.774954,1277,13064
2020-11-05,SUBSYNDROME ShortnessOfBreath,8.481323,1108,13064
2020-11-04,CCDD CDC Pneumonia CCDD v1,4.143285,539,13009
2020-11-04,CCDD CLI CC with CLI DD and Coronavirus DD v1,8.847721,1151,13009
2020-11-04,SUBSYNDROME ShortnessOfBreath,8.063648,1049,13009
2020-11-03,CCDD CDC Pneumonia CCDD v1,4.178476,516,12349
2020-11-03,CCDD CLI CC with CLI DD and Coronavirus DD v1,8.907604,1100,12349
2020-11-03,SUBSYNDROME ShortnessOfBreath,7.611952,940,12349
2020-11-02,CCDD CDC Pneumonia CCDD v1,4.382948,548,12503
2020-11-02,CCDD CLI CC with CLI DD and Coronavirus DD v1,8.973846,1122,12503
2020-11-02,SUBSYNDROME ShortnessOfBreath,7.974086,997,12503
2020-11-01,CCDD CDC Pneumonia CCDD v1,4.2588800000000004,458,10754
2020-11-01,CCDD CLI CC with CLI DD and Coronavirus DD v1,8.080714,869,10754
2020-11-01,SUBSYNDROME ShortnessOfBreath,7.21592,776,10754
2020-10-31,CCDD CDC Pneumonia CCDD v1,4.260604,446,10468
2020-10-31,CCDD CLI CC with CLI DD and Coronavirus DD v1,8.110432,849,10468
2020-10-31,SUBSYNDROME ShortnessOfBreath,6.782575,710,10468
2020-10-30,CCDD CDC Pneumonia CCDD v1,4.289448,476,11097
2020-10-30,CCDD CLI CC with CLI DD and Coronavirus DD v1,7.416419,823,11097
2020-10-30,SUBSYNDROME ShortnessOfBreath,7.380373,819,11097
2020-10-29,CCDD CDC Pneumonia CCDD v1,4.114032,482,11716
2020-10-29,CCDD CLI CC with CLI DD and Coronavirus DD v1,7.963469,933,11716
2020-10-29,SUBSYNDROME ShortnessOfBreath,7.801297,914,11716
2020-10-28,CCDD CDC Pneumonia CCDD v1,3.809924,453,11890
2020-10-28,CCDD CLI CC with CLI DD and Coronavirus DD v1,7.073171,841,11890
2020-10-28,SUBSYNDROME ShortnessOfBreath,7.308663,869,11890
2020-10-27,CCDD CDC Pneumonia CCDD v1,3.662394,440,12014
2020-10-27,CCDD CLI CC with CLI DD and Coronavirus DD v1,6.667222,801,12014
2020-10-27,SUBSYNDROME ShortnessOfBreath,7.199933,865,12014
2020-10-26,CCDD CDC Pneumonia CCDD v1,3.530926,439,12433
2020-10-26,CCDD CLI CC with CLI DD and Coronavirus DD v1,6.370144,792,12433
2020-10-26,SUBSYNDROME ShortnessOfBreath,6.965334,866,12433
2020-10-25,CCDD CDC Pneumonia CCDD v1,3.547234,377,10628
